player_name,pos,team,projection1,projection2
Darwin Thompson,RB,Chiefs,2.03,2.03
Travis Homer,RB,Seahawks,1.43,1.43
Buddy Howell,RB,Texans,0.37,0.37
Patrick Ricard,RB,Ravens,0.01,0.01
Devonta Freeman,RB,Giants,0,0
Jeremy McNichols,RB,Titans,0,0
JaMycal Hasty,RB,49ers,0,0
Jason Cabinda,RB,Lions,0,0
Chandler Cox,RB,Dolphins,0,0
Dontrell Hilliard,RB,Browns,0,0
Bruce Miller,RB,Jaguars,0,0
Cullen Gillaspia,RB,Texans,0,0
LeVante Bellamy,RB,FA,0,0
Bo Scarbrough,RB,Seahawks,0,0
Nick Bawden,RB,Lions,0,0
T.J. Logan,RB,Buccaneers,0,0
C.J. Prosise,RB,Texans,0,0
Danny Vitale,RB,Patriots,0,0
Damien Williams,RB,Chiefs,0,0
